# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Aug  5 15:56:09 2019
#
# User preference: *
#
# CONSTRAINT:  order by fpl_hostname asc
#
# COLUMN fpl_hostname:   Host Name
# COLUMN fpl_letter:     Planet Letter
# COLUMN fpl_name:       Planet Name
# COLUMN fpl_discmethod: Discovery Method
# COLUMN fpl_controvflag: Controversial Flag
# COLUMN fpl_disc:       Year of Discovery
# COLUMN fpl_orbper:     Orbital Period [days]
# COLUMN fpl_smax:       Orbit Semi-Major Axis [AU]
# COLUMN fpl_eccen:      Eccentricity
# COLUMN fpl_bmasse:     Planet Mass or M*sin(i) [Earth mass]
# COLUMN fpl_bmassprov:  Planet Mass or M*sin(i) Provenance
# COLUMN fpl_rade:       Planet Radius [Earth radii]
# COLUMN fpl_dens:       Planet Density [g/cm**3]
# COLUMN fpl_eqt:        Equilibrium Temperature [K]
# COLUMN fpl_tranflag:   Planet Transit Flag
# COLUMN fpl_cbflag:     Planet Circumbinary Flag
# COLUMN fpl_snum:       Number of Stars in System
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN fst_dist:       Distance [pc]
# COLUMN fst_optmag:     Optical Magnitude [mag]
# COLUMN fst_optmagband: Optical Magnitude Band
# COLUMN fst_nirmag:     Near-IR Magnitude [mag]
# COLUMN fst_nirmagband: Near-IR Magnitude Band
# COLUMN fst_spt:        Spectral Type
# COLUMN fst_teff:       Effective Temperature [K]
# COLUMN fst_logg:       Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN fst_lum:        Stellar Luminosity [log10(Solar luminosity)]
# COLUMN fst_mass:       Stellar Mass [Solar mass]
# COLUMN fst_rad:        Stellar Radius [Solar radii]
# COLUMN fst_met:        Stellar Metallicity [dex]
# COLUMN fst_metratio:   Metallicity Ratio
# COLUMN fst_age:        Stellar Age [Gyr]
#
loc_rowid,fpl_hostname,fpl_letter,fpl_name,fpl_discmethod,fpl_controvflag,fpl_disc,fpl_orbper,fpl_smax,fpl_eccen,fpl_bmasse,fpl_bmassprov,fpl_rade,fpl_dens,fpl_eqt,fpl_tranflag,fpl_cbflag,fpl_snum,ra_str,ra,dec_str,dec,fst_dist,fst_optmag,fst_optmagband,fst_nirmag,fst_nirmagband,fst_spt,fst_teff,fst_logg,fst_lum,fst_mass,fst_rad,fst_met,fst_metratio,fst_age
716,HD 34445,g,HD 34445 g,Radial Velocity,0,2017,5700.00000000,6.360000,0.032000,120.60000,Msini,13.600,0.26300,,0,0,1,05h17m40.98s,79.420746,+07d21m12.0s,7.353343,46.15,7.328,V (Johnson),5.790,Ks (2MASS),G0 V,5879.00,4.21,0.339,1.14,1.38,0.180,[Fe/H],8.000
717,HD 35759,b,HD 35759 b,Radial Velocity,0,2016,82.46700000,0.389000,0.389000,1195.04080,Msini,13.000,2.99000,,0,0,1,05h31m33.35s,82.888962,+64d19m07.6s,64.318779,72.50,7.740,V (Johnson),6.319,Ks (2MASS),G0,6060.00,4.24,0.537,1.15,1.76,0.040,[Fe/H],
718,HD 3651,b,HD 3651 b,Radial Velocity,0,2003,62.25000000,0.295000,0.645000,72.46524,Msini,10.100,0.38600,,0,0,1,00h39m21.81s,9.840858,+21d15m01.7s,21.250473,11.14,5.860,V (Johnson),3.999,Ks (2MASS),K0 V,5221.00,4.45,-0.267,0.80,0.88,0.190,[Fe/H],3.000
719,HD 37124,b,HD 37124 b,Radial Velocity,0,2002,154.37800000,0.533640,0.054000,214.53525,Msini,14.000,0.43000,,0,0,1,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,31.69,7.700,V (Johnson),5.952,Ks (2MASS),G4 V,5492.00,4.50,-0.112,0.85,0.91,-0.440,[Fe/H],4.000
720,HD 37124,c,HD 37124 c,Radial Velocity,0,2002,885.50000000,1.710000,0.125000,207.22516,Msini,14.100,0.40600,,0,0,1,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,31.69,7.700,V (Johnson),5.952,Ks (2MASS),G4 V,5492.00,4.50,-0.112,0.85,0.91,-0.440,[Fe/H],4.000
721,HD 37124,d,HD 37124 d,Radial Velocity,0,2005,1862.00000000,2.807000,0.160000,221.20968,Msini,14.000,0.44300,,0,0,1,05h37m02.49s,84.260361,+20d43m50.8s,20.730787,31.69,7.700,V (Johnson),5.952,Ks (2MASS),G4 V,5492.00,4.50,-0.112,0.85,0.91,-0.440,[Fe/H],4.000
722,HD 37605,b,HD 37605 b,Radial Velocity,0,2004,55.01292000,0.277000,0.674500,854.96270,Msini,13.200,2.04000,,0,0,1,05h40m01.73s,85.007210,+06d03m38.1s,6.060579,46.85,8.670,V (Johnson),6.815,Ks (2MASS),K0,5329.00,4.51,-0.220,0.94,0.91,0.270,[Fe/H],5.650
723,HD 37605,c,HD 37605 c,Radial Velocity,0,2012,2720.00000000,3.740000,0.030000,1013.87770,Msini,13.100,2.48000,,0,0,1,05h40m01.73s,85.007210,+06d03m38.1s,6.060579,46.85,8.670,V (Johnson),6.815,Ks (2MASS),K0,5329.00,4.51,-0.220,0.94,0.91,0.270,[Fe/H],5.650
724,HD 38283,b,HD 38283 b,Radial Velocity,0,2010,363.20001000,1.020000,0.410000,127.13200,Msini,14.000,0.25500,,0,0,1,05h37m02.02s,84.258408,-73d41m57.6s,-73.699341,38.10,6.696,V (Johnson),5.267,Ks (2MASS),G0/1 V,5981.00,4.23,0.411,1.37,1.49,-0.180,[Fe/H],6.200
725,HD 38529,b,HD 38529 b,Radial Velocity,0,2000,14.30944000,0.129400,0.280000,253.31051,Msini,13.900,0.51800,,0,0,1,05h46m34.91s,86.645470,+01d10m05.5s,1.168193,42.41,5.950,V (Johnson),4.211,Ks (2MASS),G4 IV,5541.00,3.77,0.840,1.41,2.56,0.320,[Fe/H],3.090
726,HD 38529,c,HD 38529 c,Radial Velocity,0,2000,2136.10000000,3.640000,0.340700,4128.61170,Msini,12.300,12.20000,,0,0,1,05h46m34.91s,86.645470,+01d10m05.5s,1.168193,42.41,5.950,V (Johnson),4.211,Ks (2MASS),G4 IV,5541.00,3.77,0.840,1.41,2.56,0.320,[Fe/H],3.090
727,HD 38801,b,HD 38801 b,Radial Velocity,0,2009,685.25000000,1.623000,0.017000,3082.31534,Msini,12.500,8.67000,,0,0,1,05h47m59.18s,86.996567,-08d19m39.7s,-8.327700,91.68,8.224,V (Johnson),6.279,Ks (2MASS),K0,5338.00,3.88,0.606,1.21,2.03,0.250,[Fe/H],6.072
728,HD 39091,b,HD 39091 b,Radial Velocity,0,2001,2093.07000000,3.100000,0.637000,3184.65660,Msini,12.500,8.96000,,0,0,1,05h37m09.89s,84.291214,-80d28m08.8s,-80.469124,18.28,5.670,V (Johnson),4.241,Ks (2MASS),G0 V,6037.00,4.42,0.160,1.09,1.10,0.080,[Fe/H],2.980
729,HD 39855,b,HD 39855 b,Radial Velocity,0,2019,3.24980000,0.041000,0.140000,8.50000,Msini,2.850,2.02000,,0,0,1,05h54m30.16s,88.625648,-19d42m15.6s,-19.704346,23.28,7.470,V (Johnson),5.756,Ks (2MASS),G8 V,5576.00,4.63,-0.316,0.87,0.74,,,
730,HD 40307,b,HD 40307 b,Radial Velocity,0,2009,4.31230000,0.046800,0.200000,4.00000,Msini,1.830,3.59000,910,0,0,1,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.94,7.170,V (Johnson),4.793,Ks (2MASS),K3 V,4956.00,4.47,-0.639,0.77,0.71,-0.310,[Fe/H],4.500
731,HD 40307,c,HD 40307 c,Radial Velocity,0,2009,9.61840000,0.079900,0.060000,6.60000,Msini,2.460,2.44000,696,0,0,1,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.94,7.170,V (Johnson),4.793,Ks (2MASS),K3 V,4956.00,4.47,-0.639,0.77,0.71,-0.310,[Fe/H],4.500
732,HD 40307,d,HD 40307 d,Radial Velocity,0,2009,20.43200000,0.132100,0.070000,9.50000,Msini,3.040,1.86000,541,0,0,1,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.94,7.170,V (Johnson),4.793,Ks (2MASS),K3 V,4956.00,4.47,-0.639,0.77,0.71,-0.310,[Fe/H],4.500
733,HD 40307,f,HD 40307 f,Radial Velocity,0,2013,51.76000000,0.247000,0.020000,5.20000,Msini,2.130,2.96000,398,0,0,1,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.94,7.170,V (Johnson),4.793,Ks (2MASS),K3 V,4956.00,4.47,-0.639,0.77,0.71,-0.310,[Fe/H],4.500
734,HD 40307,g,HD 40307 g,Radial Velocity,1,2013,197.80000000,0.600000,0.290000,7.10000,Msini,2.560,2.33000,255,0,0,1,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472,12.94,7.170,V (Johnson),4.793,Ks (2MASS),K3 V,4956.00,4.47,-0.639,0.77,0.71,-0.310,[Fe/H],4.500
735,HD 40956,b,HD 40956 b,Radial Velocity,0,2017,578.60000000,1.400000,0.240000,858.14100,Msini,13.200,2.05000,,0,0,1,06h06m39.16s,91.663147,+63d27m13.8s,63.453838,116.99,6.423,V (Johnson),4.143,Ks (2MASS),K0,4869.00,3.02,1.664,2.00,8.56,0.140,[Fe/H],1.350
736,HD 40979,b,HD 40979 b,Radial Velocity,0,2002,264.14999000,0.850000,0.250000,1484.26610,Msini,12.900,3.80000,,0,0,1,06h04m29.94s,91.124763,+44d15m37.6s,44.260445,34.12,6.735,V (Johnson),5.452,Ks (2MASS),F8 V,6165.00,4.43,0.292,1.45,1.21,0.200,[Fe/H],3.560
737,HD 41004 A,b,HD 41004 A b,Radial Velocity,0,2004,963.00000000,,0.740000,807.25000,Msini,13.200,1.93000,,0,0,2,05h59m49.65s,89.956871,-48d14m22.9s,-48.239693,43.03,8.650,V (Johnson),6.428,Ks (2MASS),K1/K2 V,5010.00,4.42,-0.187,0.70,0.85,-0.090,[Fe/H],1.600
738,HD 41004 B,b,HD 41004 B b,Radial Velocity,0,2003,1.32830000,,0.081000,5838.29000,Msini,12.100,18.10000,,0,0,2,05h59m49.65s,89.956886,-48d14m23.4s,-48.239841,43.03,,,6.428,Ks (2MASS),M2 V,,,,0.40,,,,
739,HD 4113,b,HD 4113 b,Radial Velocity,0,2007,526.62000000,1.280000,0.903000,495.79000,Msini,13.500,1.11000,,0,0,1,00h43m12.60s,10.802486,-37d58m57.5s,-37.982632,41.92,7.881,V (Johnson),6.289,Ks (2MASS),G5,5688.00,4.40,0.086,0.99,1.08,0.200,[Fe/H],6.400
740,HD 42012,b,HD 42012 b,Radial Velocity,0,2017,857.50000000,1.670000,0.200000,508.52800,Msini,13.500,1.14000,,0,0,1,06h09m56.47s,92.485275,+34d08m07.1s,34.135300,36.84,8.440,V (Johnson),6.584,Ks (2MASS),K0,5405.00,4.45,-0.270,0.83,0.82,-0.090,[Fe/H],4.100
741,HD 4203,b,HD 4203 b,Radial Velocity,0,2001,431.88000000,1.170000,0.520000,708.76090,Msini,13.300,1.66000,,0,0,1,00h44m41.20s,11.171676,+20d26m56.1s,20.448927,81.57,8.687,V (Johnson),7.047,Ks (2MASS),G5,5596.00,4.23,0.298,1.25,1.42,0.400,[Fe/H],8.520
742,HD 4203,c,HD 4203 c,Radial Velocity,0,2014,6700.00000000,6.950000,0.240000,689.66000,Msini,13.300,1.61000,,0,0,1,00h44m41.20s,11.171676,+20d26m56.1s,20.448927,81.57,8.687,V (Johnson),7.047,Ks (2MASS),G5,5596.00,4.23,0.298,1.25,1.42,0.400,[Fe/H],8.520
743,HD 4208,b,HD 4208 b,Radial Velocity,0,2001,832.97000000,1.662000,0.042000,257.44230,Msini,13.900,0.52700,,0,0,1,00h44m26.65s,11.111043,-26d30m56.4s,-26.515680,34.23,7.795,V (Johnson),6.163,Ks (2MASS),G5 V,5717.00,4.50,-0.100,0.88,0.85,-0.280,[Fe/H],3.813
744,HD 42618,b,HD 42618 b,Radial Velocity,0,2016,149.61000000,0.554000,0.190000,14.40000,Msini,3.890,1.34000,337,0,0,1,06h12m00.57s,93.002357,+06d46m59.1s,6.783074,24.35,6.839,V (Johnson),5.301,Ks (2MASS),G4 V,5727.00,4.44,-0.009,1.01,1.00,-0.090,[Fe/H],3.720
745,HD 4308,b,HD 4308 b,Radial Velocity,0,2005,15.56000000,0.120000,0.000000,15.89150,Msini,4.120,1.25000,,0,0,1,00h44m39.27s,11.163615,-65d38m58.3s,-65.649521,22.03,6.560,V (Johnson),4.945,Ks (2MASS),G5 V,5686.00,4.39,0.010,0.93,1.02,-0.350,[Fe/H],8.680
746,HD 4313,b,HD 4313 b,Radial Velocity,0,2009,356.21000000,1.157000,0.147000,612.45841,Msini,13.400,1.40000,,0,0,1,00h45m40.36s,11.418160,+07d50m42.1s,7.845021,136.82,7.830,V (Johnson),5.595,Ks (2MASS),G5,4943.00,3.24,1.161,1.63,5.14,0.050,[Fe/H],1.720
747,HD 43197,b,HD 43197 b,Radial Velocity,0,2010,327.80000000,0.920000,0.830000,190.69000,Msini,14.100,0.37400,,0,0,1,06h13m35.66s,93.398590,-29d53m50.2s,-29.897270,56.30,8.980,V (Johnson),7.203,Ks (2MASS),G8 V,5508.00,4.31,-0.137,0.96,1.00,0.400,[Fe/H],
748,HD 43691,b,HD 43691 b,Radial Velocity,0,2007,36.99870000,0.238000,0.079600,810.46650,Msini,13.200,1.94000,,0,0,1,06h19m34.68s,94.894485,+41d05m32.3s,41.092304,85.81,8.030,V (Johnson),6.700,Ks (2MASS),G0,6093.00,4.28,0.500,1.32,1.60,0.330,[Fe/H],2.390
749,HD 44219,b,HD 44219 b,Radial Velocity,0,2010,472.30000000,1.190000,0.610000,184.33000,Msini,14.100,0.36100,,0,0,1,06h20m14.32s,95.059677,-10d43m30.0s,-10.725009,50.40,7.690,V (Johnson),6.115,Ks (2MASS),G2 V,5752.00,4.21,0.260,1.00,1.32,0.030,[Fe/H],
750,HD 45184,b,HD 45184 b,Radial Velocity,0,2019,5.88540000,0.064400,0.070000,12.19000,Msini,3.520,1.54000,,0,0,1,06h24m43.88s,96.182831,-28d46m48.4s,-28.780113,21.88,6.370,V (Johnson),4.871,Ks (2MASS),G1.5 V,5869.00,4.47,0.053,1.03,1.05,0.040,[Fe/H],6.800
751,HD 45184,c,HD 45184 c,Radial Velocity,0,2019,13.13540000,0.110000,0.070000,8.81000,Msini,2.910,1.96000,,0,0,1,06h24m43.88s,96.182831,-28d46m48.4s,-28.780113,21.88,6.370,V (Johnson),4.871,Ks (2MASS),G1.5 V,5869.00,4.47,0.053,1.03,1.05,0.040,[Fe/H],6.800
752,HD 45350,b,HD 45350 b,Radial Velocity,0,2004,963.60000000,1.920000,0.778000,568.89000,Msini,13.500,1.27000,,0,0,1,06h28m45.71s,97.190460,+38d57m46.7s,38.962963,46.94,7.885,V (Johnson),6.224,Ks (2MASS),G5 V,5616.00,4.32,0.141,1.02,1.25,0.290,[Fe/H],8.000
753,HD 45364,b,HD 45364 b,Radial Velocity,0,2008,226.93000000,0.681300,0.168400,59.49530,Msini,8.970,0.45300,,0,0,1,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,34.39,8.062,V (Johnson),6.316,Ks (2MASS),K0 V,5434.00,4.38,-0.244,0.82,0.89,-0.170,[Fe/H],
754,HD 45364,c,HD 45364 c,Radial Velocity,0,2008,342.85000000,0.897200,0.097400,209.09150,Msini,14.100,0.41000,,0,0,1,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953,34.39,8.062,V (Johnson),6.316,Ks (2MASS),K0 V,5434.00,4.38,-0.244,0.82,0.89,-0.170,[Fe/H],
755,HD 45652,b,HD 45652 b,Radial Velocity,0,2008,44.07300000,0.237000,0.607000,137.62039,Msini,14.300,0.25900,,0,0,1,06h29m13.19s,97.304962,+10d56m02.0s,10.933891,34.89,8.100,V (Johnson),6.263,Ks (2MASS),G8/K0,5294.00,4.20,-0.200,0.92,0.94,0.260,[Fe/H],8.400
756,HD 46375,b,HD 46375 b,Radial Velocity,0,2000,3.02357300,0.039800,0.063000,71.80000,Msini,10.000,0.39500,,0,0,1,06h33m12.62s,98.302597,+05d27m46.5s,5.462925,29.58,7.912,V (Johnson),6.000,Ks (2MASS),K1 IV-V,5285.00,4.53,-0.245,0.92,0.94,0.240,[Fe/H],9.000
757,HD 47186,b,HD 47186 b,Radial Velocity,0,2008,4.08450000,0.050000,0.040000,22.24810,Msini,5.020,0.96600,,0,0,1,06h36m08.79s,99.036613,-27d37m20.3s,-27.622297,37.50,7.626,V (Johnson),6.005,Ks (2MASS),G5 V,5657.00,4.36,0.043,0.96,1.08,0.240,[Fe/H],6.500
758,HD 47186,c,HD 47186 c,Radial Velocity,0,2008,1353.60000000,2.395000,0.249000,111.42000,Msini,13.000,0.27900,,0,0,1,06h36m08.79s,99.036613,-27d37m20.3s,-27.622297,37.50,7.626,V (Johnson),6.005,Ks (2MASS),G5 V,5657.00,4.36,0.043,0.96,1.08,0.240,[Fe/H],6.500
759,HD 4732,b,HD 4732 b,Radial Velocity,0,2012,360.20000000,1.190000,0.130000,753.23000,Msini,13.300,1.76000,,0,0,1,00h49m13.95s,12.308117,-24d08m12.0s,-24.136671,54.87,5.890,V (Johnson),3.691,Ks (2MASS),K0 IV,4959.00,3.16,1.190,1.74,5.40,0.010,[Fe/H],1.470
760,HD 4732,c,HD 4732 c,Radial Velocity,0,2012,2732.00000000,4.600000,0.230000,753.23000,Msini,13.300,1.76000,,0,0,1,00h49m13.95s,12.308117,-24d08m12.0s,-24.136671,54.87,5.890,V (Johnson),3.691,Ks (2MASS),K0 IV,4959.00,3.16,1.190,1.74,5.40,0.010,[Fe/H],1.470
761,HD 47366,b,HD 47366 b,Radial Velocity,0,2016,363.30000000,1.214000,0.089000,556.20250,Msini,13.500,1.24000,,0,0,1,06h37m40.79s,99.419968,-12d59m06.4s,-12.985116,84.56,6.110,V (Johnson),4.055,Ks (2MASS),K1 III,4866.00,2.97,1.417,1.81,7.30,-0.020,[Fe/H],1.610
762,HD 47366,c,HD 47366 c,Radial Velocity,0,2016,684.70000000,1.853000,0.278000,591.16380,Msini,13.400,1.35000,,0,0,1,06h37m40.79s,99.419968,-12d59m06.4s,-12.985116,84.56,6.110,V (Johnson),4.055,Ks (2MASS),K1 III,4866.00,2.97,1.417,1.81,7.30,-0.020,[Fe/H],1.610
763,HD 47536,b,HD 47536 b,Radial Velocity,0,2002,712.13000000,1.930000,0.200000,2330.00000,Msini,12.600,6.40000,,0,0,1,06h37m47.62s,99.448410,-32d20m23.0s,-32.339733,122.95,5.250,V (Johnson),2.383,Ks (2MASS),K1 III,4424.00,2.13,2.270,0.91,22.39,0.690,[Fe/H],10.150
764,HD 48265,b,HD 48265 b,Radial Velocity,0,2008,778.51000000,1.814000,0.211000,484.69075,Msini,13.500,1.08000,,0,0,1,06h40m01.73s,100.007195,-48d32m31.0s,-48.541954,90.78,8.051,V (Johnson),6.449,Ks (2MASS),G5 IV/V,5733.00,3.97,0.639,1.31,1.90,0.300,[Fe/H],4.201
765,HD 4917,b,HD 4917 b,Radial Velocity,0,2018,400.50000000,1.167000,0.066000,513.29545,Msini,13.500,1.15000,,0,0,1,00h51m06.28s,12.776146,-12d55m39.4s,-12.927608,205.45,8.030,V (Johnson),5.610,Ks (2MASS),K0 III/IV,4802.00,2.97,1.456,1.32,5.01,,,
766,HD 49674,b,HD 49674 b,Radial Velocity,0,2002,4.94737000,0.060000,0.090000,31.78300,Msini,6.200,0.73300,,0,0,1,06h51m30.52s,102.877151,+40d52m03.9s,40.867756,43.09,8.100,V (Johnson),6.432,Ks (2MASS),G5 V,5602.00,4.44,-0.021,1.03,1.02,0.320,[Fe/H],3.620
767,HD 50499,b,HD 50499 b,Radial Velocity,0,2005,2447.10000000,3.833000,0.266000,519.96988,Msini,13.500,1.16000,,0,0,1,06h52m02.03s,103.008438,-33d54m56.0s,-33.915562,46.35,7.207,V (Johnson),5.836,Ks (2MASS),G1 V,6102.00,4.25,0.376,1.25,1.35,0.260,[Fe/H],2.391
768,HD 50499,c,HD 50499 c,Radial Velocity,0,2019,8619.90000000,9.020000,0.000000,931.24190,Msini,13.200,2.22000,,0,0,1,06h52m02.03s,103.008438,-33d54m56.0s,-33.915562,46.35,7.207,V (Johnson),5.836,Ks (2MASS),G1 V,6102.00,4.25,0.376,1.25,1.35,0.260,[Fe/H],2.391
769,HD 50554,b,HD 50554 b,Radial Velocity,0,2002,1293.00000000,2.353000,0.501000,1574.46400,Msini,12.900,4.03000,,0,0,1,06h54m42.82s,103.678436,+24d14m44.0s,24.245558,31.19,6.840,V (Johnson),5.467,Ks (2MASS),F8,5987.00,4.32,0.143,1.04,1.02,-0.040,[Fe/H],2.160
770,HD 51608,b,HD 51608 b,Radial Velocity,0,2019,14.07260000,0.105900,0.090000,12.77000,Msini,3.620,1.48000,,0,0,1,06h54m51.34s,103.713921,-55d15m33.6s,-55.259327,34.83,8.170,V (Johnson),6.328,Ks (2MASS),G7 V,5358.00,4.36,-0.244,0.80,0.92,-0.070,[Fe/H],
771,HD 51608,c,HD 51608 c,Radial Velocity,0,2019,95.94460000,0.380900,0.140000,14.31000,Msini,3.870,1.36000,,0,0,1,06h54m51.34s,103.713921,-55d15m33.6s,-55.259327,34.83,8.170,V (Johnson),6.328,Ks (2MASS),G7 V,5358.00,4.36,-0.244,0.80,0.92,-0.070,[Fe/H],
772,HD 52265,b,HD 52265 b,Radial Velocity,0,2000,119.27000000,0.520000,0.270000,384.57430,Msini,13.700,0.82200,405,0,0,1,07h00m18.04s,105.075150,-05d22m01.8s,-5.367162,30.01,6.300,V (Johnson),4.953,Ks (2MASS),G0 V,6136.00,4.36,0.361,1.20,1.35,0.210,[Fe/H],3.760
773,HD 5319,b,HD 5319 b,Radial Velocity,0,2007,637.10000000,1.570000,0.092000,494.54348,Msini,13.500,1.10000,,0,0,1,00h55m01.40s,13.755836,+00d47m22.4s,0.789553,121.83,8.050,V (Johnson),5.699,Ks (2MASS),G5,4871.00,3.26,0.985,1.27,4.06,0.150,[Fe/H],3.100
774,HD 5319,c,HD 5319 c,Radial Velocity,0,2014,872.20000000,1.930000,0.183000,334.67499,Msini,13.800,0.70000,,0,0,1,00h55m01.40s,13.755836,+00d47m22.4s,0.789553,121.83,8.050,V (Johnson),5.699,Ks (2MASS),G5,4871.00,3.26,0.985,1.27,4.06,0.150,[Fe/H],3.100
775,HD 55696,b,HD 55696 b,Radial Velocity,0,2018,1827.00000000,3.180000,0.705000,1230.00210,Msini,13.000,3.08000,,0,0,1,07h12m14.97s,108.062378,-38d10m28.3s,-38.174541,78.15,7.950,V (Johnson),6.591,Ks (2MASS),G0 V,6012.00,,0.430,1.29,1.52,0.370,[Fe/H],2.640
776,HD 5583,b,HD 5583 b,Radial Velocity,0,2016,139.35000000,0.530000,0.076000,1837.05740,Msini,12.800,4.81000,,0,0,1,00h57m56.70s,14.486255,+34d59m08.0s,34.985561,221.00,7.600,V (Johnson),5.221,Ks (2MASS),,4830.00,2.53,1.610,1.01,9.09,-0.500,[Fe/H],7.410
777,HD 5608,b,HD 5608 b,Radial Velocity,0,2012,779.90000000,1.911000,0.056000,534.27223,Msini,13.500,1.19000,,0,0,1,00h58m14.22s,14.559246,+33d57m03.2s,33.950886,58.21,5.990,V (Johnson),3.826,Ks (2MASS),K0,4877.00,3.19,1.171,1.53,5.14,0.120,[Fe/H],1.720
778,HD 564,b,HD 564 b,Radial Velocity,0,2014,492.30000000,1.200000,0.096000,104.88000,Msini,12.500,0.29500,,0,0,1,00h09m52.82s,2.470091,-50d16m04.2s,-50.267822,53.60,8.290,V (Johnson),6.893,Ks (2MASS),G2/G3 V,5902.00,4.53,0.019,0.96,1.01,-0.200,[Fe/H],5.500
779,HD 5891,b,HD 5891 b,Radial Velocity,0,2011,177.11000000,0.640000,0.070000,2425.04290,Msini,12.600,6.66000,,0,0,1,01h00m33.19s,15.138300,+20d17m32.9s,20.292484,285.75,8.250,V (Johnson),5.621,Ks (2MASS),G5,4673.00,2.67,1.595,1.93,10.64,-0.370,[Fe/H],1.500
780,HD 59686 A,b,HD 59686 A b,Radial Velocity,0,2016,299.36000000,1.086000,0.050000,2199.38360,Msini,12.700,5.90000,,0,0,2,07h31m48.40s,112.951653,+17d05m09.8s,17.086046,96.80,5.442,V (Johnson),2.922,Ks (2MASS),K2 III,4658.00,2.49,1.822,1.90,13.20,0.150,[Fe/H],1.730
781,HD 60532,b,HD 60532 b,Radial Velocity,0,2008,201.90000000,0.770000,0.260000,336.89980,Msini,13.800,0.70400,,0,0,1,07h34m03.18s,113.513252,-22d17m45.8s,-22.296066,25.99,4.440,V (Johnson),3.355,Ks (2MASS),F6 IV,6245.00,3.80,1.001,1.50,2.57,-0.260,[Fe/H],2.800
782,HD 60532,c,HD 60532 c,Radial Velocity,0,2008,600.10000000,1.600000,0.030000,797.75330,Msini,13.300,1.86000,,0,0,1,07h34m03.18s,113.513252,-22d17m45.8s,-22.296066,25.99,4.440,V (Johnson),3.355,Ks (2MASS),F6 IV,6245.00,3.80,1.001,1.50,2.57,-0.260,[Fe/H],2.800
783,HD 62509,b,HD 62509 b,Radial Velocity,0,2006,589.64000000,1.640000,0.020000,731.00000,Msini,13.300,1.71000,,0,0,1,07h45m18.95s,116.328957,+28d01m34.3s,28.026199,10.34,1.140,V (Johnson),-0.936,Ks (2MASS),K0 III,4946.00,3.07,1.590,2.10,8.31,0.070,[Fe/H],0.980
784,HD 63454,b,HD 63454 b,Radial Velocity,0,2005,2.81805000,0.040000,0.000000,79.45750,Msini,12.310,0.23400,,0,0,1,07h39m21.85s,114.841049,-78d16m44.3s,-78.278969,37.73,9.370,V (Johnson),6.998,Ks (2MASS),K4 V,4812.00,4.28,-0.530,0.42,0.77,0.100,[Fe/H],1.000
785,HD 63765,b,HD 63765 b,Radial Velocity,0,2009,358.00000000,0.940000,0.240000,168.44990,Msini,14.200,0.32300,,0,0,1,07h47m49.72s,116.957161,-54d15m50.9s,-54.264145,32.57,8.100,V (Johnson),6.316,Ks (2MASS),G9 V,5449.00,4.41,-0.256,0.65,0.83,-0.160,[Fe/H],4.770
786,HD 64114,b,HD 64114 b,Radial Velocity,0,2019,45.79100000,0.246000,0.120000,17.80000,Msini,4.410,1.14000,,0,0,1,07h51m55.89s,117.982864,-11d01m58.7s,-11.032976,31.55,7.718,V (Johnson),6.046,Ks (2MASS),G7 V,5676.00,,-0.137,0.95,0.88,,,
787,HD 6434,b,HD 6434 b,Radial Velocity,0,2003,21.99800000,0.140000,0.170000,155.73670,Msini,14.200,0.29900,,0,0,1,01h04m40.15s,16.167295,-39d29m17.6s,-39.488216,42.41,7.710,V (Johnson),6.187,Ks (2MASS),G2/3 V,5769.00,4.38,0.103,1.10,1.12,-0.550,[Fe/H],11.270
788,HD 65216,b,HD 65216 b,Radial Velocity,0,2003,577.60000000,1.301000,0.270000,411.58985,Msini,13.600,0.89900,,0,0,1,07h53m41.32s,118.422173,-63d38m50.4s,-63.647324,35.16,7.964,V (Johnson),6.329,Ks (2MASS),G5 V,5612.00,4.44,-0.150,0.87,0.88,-0.170,[Fe/H],4.000
789,HD 65216,c,HD 65216 c,Radial Velocity,0,2013,5370.00000000,5.750000,0.170000,645.19490,Msini,13.400,1.47000,,0,0,1,07h53m41.32s,118.422173,-63d38m50.4s,-63.647324,35.16,7.964,V (Johnson),6.329,Ks (2MASS),G5 V,5612.00,4.44,-0.150,0.87,0.88,-0.170,[Fe/H],4.000
